oath_id,author,title,reference,work_type,genre,work_date,date,reference_type,state,swearer,swearee,proposed_by,if_taken,if_refused,if_kept,if_broken,taken,impact,consequences_of_breach,statement,linguistic,gods_invoked,remarks
3827,Demosthenes,On the False Embassy,304,literary,Orat.,343,343,Oath,Athens,Epheboi,Presiding magistrate,Presiding magistrate,They will be eligible to be citizens,They will not be eligible to be citizens,unknown,unknown,yes,see remarks,unknown,"[That they shall not bring shame upon the sacred weapons nor shall they desert the man beside them, wherever they stand in the line. They shall fight in defence of things sacred and profane and shall not hand the fatherland on lessened, but greater and better both as far as they are able and with all. And they shall be obedient to whoever exercises power reasonably on any occasion and to the laws currently in force and any reasonably put into force in the future. If anyone attempts to destroy these, they shall refuse to allow him both as far as is in their power and in union with all, and they shall honour the ancestral religion]",ork,Aglaurus; Hestia; Enyo; Enyalios; Ares; Athena; Zeus; Thallo; Auxo; Hegemone; Heracles; The boundaries of my fatherland; Wheat; Barley; Vines; Olives; Figs,"Demosthenes catalogues various speeches Aeschines made in 348/7, including when he read out ""the oath of the ephebes in the precinct of Aglaurus"". 
See also oath id 340."
2735,Lycurgus,Against Leocrates,13,literary,Orat.,330,330,Oath,Athens,Dikastai,Presiding magistrate,Presiding magistrate,They can be jurors,They cannot be jurors,Many blessings (?),Destruction of self and household (?),yes,see remarks,unknown,"[That they will vote according to the laws and decrees of the Athenian people and the Council of Five Hundred; <and concerning matters about which there are no laws, they will judge according to their perfectly honest opinion, and not from favour nor from enmity>. Nor will they accept gifts for judging, nor will any other man or woman do so on their behalf with their knowledge. And they will give an equal hearing to the accuser and the defendant alike, and cast their vote in relation to the actual matter in issue.]",ork,Zeus; Poseidon; Demeter,"Lycurgus urges the jurors not to listen to those who digress from the point (following the example of trials before the Areopagus where such digressions are forbidden). He says that if they heed his advice, ""defendants will receive an impartial hearing, prosecutors will be least able to give false information, and you will be best able to vote in accordance with your oath"". 
For the details of the Heliastic oath see oath id 3494."
3574,Demosthenes,Against Boeotus 1,41,literary,Orat.,349-8,349-8 (349 to 348),Oath,Athens,Dikastai,Presiding magistrate,Presiding magistrate,They can be jurors,They cannot be jurors,Many blessings (?),Destruction of self and household (?),yes,see remarks,unknown,"[That they will vote according to the laws and decrees of the Athenian people and the Council of Five Hundred; <and concerning matters about which there are no laws, they will judge according to their perfectly honest opinion, and not from favour nor from enmity>. Nor will they accept gifts for judging, nor will any other man or woman do so on their behalf with their knowledge. And they will give an equal hearing to the accuser and the defendant alike, and cast their vote in relation to the actual matter in issue.]",ork,Zeus; Poseidon; Demeter,"Mantitheus concludes by asking the jurors to decide what they think is most just on the basis of the laws, their oaths, and the admissions Boeotus has made. 
For the details of the Heliastic oath see oath id 3494."
1549,Thucydides,History,1.123.2,literary,Hist.,403-395,446/5 (446),Oath,unknown,Representatives; Representatives,Representatives; Representatives,unknown,Peace Treaty formalised,Hostilities will continue,unknown,unknown,yes,unknown,unknown,"[? That they would abide by the following terms:
1. The peace was to last for thirty years
2. Athens was to give up Nisaea, Pagae, Troezen and Achaea
3. Neither side was to make an armed attack on the other
4. Disputes were to be submitted to arbitration
5. Each side was to keep what it possessed at the date of the conclusion of the treaty
6. Lists of the allies on each side were included
7. Any state not listed (except Argos) could ally itself with either side
8. Athens could establish friendly relations (but not an alliance) with Argos]",spond,unknown,"The Corinthian envoy to Sparta argues that the fact that Apollo has encouraged the Spartans to go to war against Athens (see oath id.1548) indicates that he considers that the Athenians have broken the treaty.  
For other references to the Thirty Years' Peace see also oath id 1524."
3124,Plato,Gorgias,473a9-11,literary,Phil.,387-383,fictional time,Oath,Athens,Polus,Socrates,n/a,n/a,n/a,unknown,unknown,yes,Emphasises the statement,n/a,"[That Socrates had said that wrongdoers are wretched and he had been refuted by Polus]
 Καὶ τοὺς ἀδικοῦντας ἀθλίους ἔφην εἶναι ἐγώ, καὶ ἐξηλέγχθην ὑπὸ σοῦ.  {ΠΩΛ.} Ναὶ μὰ Δία.","ma, nai",Zeus,
1119,Aristophanes,Wasps,1230-1231,literary,Comic.,422,422,Oath,Athens,Philocleon,Bdelycleon,n/a,n/a,n/a,unknown,unknown,yes,Emphasises the statement,n/a,"[That if ""Cleon"" threatens him, he will sing another insulting verse about him]
 ἐγὼ δέ γε, 
 ἐὰν ἀπειλῇ, νὴ Δί’ ἑτέραν ᾄσομαι.",nh,Zeus,"Bdelycleon is pretending to be Cleon here, singing ""Harmodius"", which Philocleon is supposed to take up."
3431,Demosthenes,Against Androtion,69,literary,Orat.,355/4,355/4 (355),Oath,Athens,An imaginary objector,Diodorus,n/a,n/a,n/a,n/a,n/a,no,Emphasises the statement,n/a,"[That although Androtion has been offensive in his public conduct he has done other things well]
 Ἀλλὰ νὴ Δία ταῦτα μὲν τοιοῦτός ἐστιν ἐν οἷς πεπολίτευται, ἄλλα δ’ ἔσθ’ ἃ καλῶς διῴκηκεν.",nh,Zeus,"Diodorus outlines Androtion's offensive actions in the past, and imagines that someone will respond in this way to his argument."
439,Aristophanes,Frogs,779-781,literary,Comic.,405,405,Oath,Underworld,Slave,Xanthias,n/a,n/a,n/a,unknown,unknown,yes,Leads Xanthias to further questions,n/a,"[That those who clamoured for a trial to decide whether Euripides or Aeschylus was better at his craft were the criminals]
 ἀλλ’ ὁ δῆμος ἀνεβόα κρίσιν ποεῖν 
  ὁπότερος εἴη τὴν τέχνην σοφώτερος.
  ΞΑ.  Ὁ τῶν πανούργων;
  ΟΙ.  Νὴ Δί’, οὐράνιόν γ’ ὅσον.",nh,Zeus,"Euripides is supported by the criminals in Hades, Aeschylus by the decent folk (at 783). See Sommerstein ad 738 on the identity of the slave."
593,Aristophanes,Acharnians,178-183,literary,Comic.,425,425,Oath,Athens,see remarks,see remarks,Amphitheos,Peace for thirty years,Hostilities will continue,unknown,unknown,yes,Peace for thirty years,hostilities continue,[That they will abide by the terms of the agreement],spond,unknown,See oath id 590 for remarks and cross references.
3061,Isaeus,On the Estate of Nicostratus,20,literary,Orat.,ca.374,ca.374 (374),Oath,Athens,An imaginary objector,Dikastai,n/a,n/a,n/a,n/a,n/a,no,Emphasises the statement,n/a,"[That whereas Chariades did none of these things, he did administer Nicostratus' property]
 Ἀλλὰ νὴ Δία ἐπειδὴ τούτων οὐδὲν ἐποίησε, τὴν οὐσίαν τοῦ Νικοστράτου διεχείρισεν.",nh,Zeus,"The speaker hypothesises that someone might object that while Chariades did not administer the customary rites after Nicostratus' death, he did administer Nicostratus' property. In the next sentence, and also later (26), he claims that witnesses have testified (presumably during an earlier speech - the surviving speech is a supplementary one) to the falsity of the imaginary objector's assertion."
2220,Xenophon,Symposium,3.9,literary,dialogue,380-370,After the great Panathenaia (422),Oath,Athens,Socrates,Charmides,n/a,n/a,n/a,unknown,unknown,yes,Emphasises the statement,n/a,"[That poverty is a charming thing to take pride in]
 τί γὰρ σύ, ἔφη, ὦ Χαρμίδη, ἐπὶ τίνι μέγα φρονεῖς; Ἐγὼ αὖ, ἔφη, ἐπὶ πενίᾳ μέγα φρονῶ. Νὴ Δί’, ἔφη ὁ Σωκράτης, ἐπ’ εὐχαρίτῳ γε πράγματι.",nh,Zeus,"This statement would be ironic in most people’s mouths, but Socrates really means it!"
2670,Aeschines,Against Ctesiphon,84,literary,Orat.,330,339/8 (339),Oath,Thebes,Representatives; Representatives,Representatives; Representatives,Demosthenes,Their alliance would be formalised,There would not be an alliance,unknown,unknown,yes,see remarks,unknown,"[? That they would defend each other, and make war in common against Philip]",summac,unknown,"Aeschines mentions the alliance between Athens and Chalcis (341/0) and the one between Athens and Thebes (339/8) and says that he will refer to both later. 
Several of its provisions are mentioned by Aeschines 3.142-3:  that Athens would help Thebes against any (Boeotian) city that defected from her leadership; that two-thirds of the cost of the war should be paid by Athens, one-third by Thebes; and certain provisions about the naval and military command (behind Aeschines' hostile presentation of these we may perhaps perceive a provision that both the sea and land commands should be shared between the two states, with Athens having the greater say at sea and Thebes on land). 
See also oath id 2514, 2516, 2675, 2704, 2705, 2706, 2717, 2718, 3390, 3876, 3877, 3879, 3881, 3882."
747,Aristophanes,Thesmophoriazusae,858,literary,Comic.,411,411,Oath,Athens,Critylla,Inlaw,n/a,n/a,n/a,unknown,unknown,yes,Highlights Critylla's indignation,n/a,"[That the Inlaw is a rogue]
 Πανοῦργος εἶ νὴ τὴν Ἑκάτην τὴν φωσφόρον.",nh thn,Hecate,"The is a response to the Inlaw quoting Euripides' 'Helen' as if he were the title character. Sommerstein notes ad loc.: ""this women's oath is also found in Lys. 443, 738 [see oath ids 1176 and 1192]. It is unlikely to be a coincidence that one of the only two known mentions of Hecate Phosphorus in tragedy is in 'Helen' (569)'."
1288,Herodotus,The Histories,2.118,literary,Hist.,428-415,Mythical time,Oath,Troy,Trojans,Representatives,n/a,Their statement will carry greater weight,n/a,unknown,unknown,yes,unknown,unknown,"[That neither Helen, nor the goods claimed were with them, but were instead in Egypt with King Proteus]
 μὴ μὲν ἔχειν Ἑλένην μηδὲ τὰ ἐπικαλεόμενα χρήματα, ἀλλ’ εἶναι αὐτὰ πάντα ἐν Αἰγύπτῳ","omnu, wmot",,For the same oath sworn by the Trojans before the Greeks besieged their city see oath id 1287.
1772,Aristotle,Athenaion Politeia,20.3.10,literary,Phil.,335-322,508,Oath,Athens,Representatives,Cleomenes,Athenians,The truce would be formalised,Hostilities would continue,unknown,unknown,yes,The Spartans left Athens,n/a,"[That they would release Cleomenes and all the men with him]
 τῇ δὲ τρίτῃ Κλεομένην μὲν καὶ τοὺς μετ’ αὐτοῦ 
πάντας ἀφεῖσαν ὑποσπόνδους",spond,unknown,"This truce came about after Cleomenes attempted to take control of Athens, but the council resisted and he and his supporters fled to the Acropolis, where the people besieged them for two days, but made this truce on the third. Cf. Herodotus 5.72 (oath id 1336)."
317,Homer,Iliad,3.94-107,literary,Epic.,date uncertain,mythical time,Oath,Troy,Greek army; Trojan army,Greek army; Trojan army,Hector,War will be determined by single combat between Paris and Menelaus,War continues as it is,unknown,"Let their brains be spilled on the ground and those of their sons, and let their wives be the spoils of others",yes,peace,war resumes,"[That the Greeks and the Trojans will stop fighting, and that Menelaus and Paris will engage in single combat over Helen and her possessions]",ork,"ZeusEpithet(s)father, most honoured, greatest; HeliosEpithet(s)all-seeing, all-hearing; Rivers; Gaia; Nether Avengers against dead perjurers; All the immortal gods","Same oath as id 316. Here Menelaus agrees that the Greeks and Trojans should take the oath, adding the condition that Priam should come so that he himself will ""cut the oath"" (this important and formulaic phrase implies that the slaughter of the animal was a crucial element of the oath), since his children are arrogant and untrustworthy."
1322,Pindar,Paean 6,fr. 52f.112-116,literary,Lyr.,date unknown,mythical time,Oath,Heaven,Apollo,World at large,unknown,unknown,unknown,unknown,unknown,yes,Neoptolemus dies,n/a,"[That Neoptolemus would never get home nor reach old age]
 ὤ̣[μο]σε [γὰρ θ]εός, 
γέ[ρον]θ̣’ ὅ̣[τι] Πρίαμον 
π[ρ]ὸς ἑρκεῖον ἤναρε βωμὸν ἐ[π‐
  εν]θορόντα, μή νιν εὔφρον’ ἐς οἶ[κ]ον 
μ̣ήτ’ ἐπὶ γῆρας ἱξέ‐
  μεν βίου·",wmos,unknown,Apollo's oath is a response to Neoptolemus' sacrilegious slaughter of Priam at the altar of Zeus during the Trojan war. Pindar proceeds to tell us that Apollo then slew Neoptolemus while he was quarreling over honours in Apollo's sanctuary.
1637,Thucydides,History,3.114.2,literary,Hist.,403-395,426/5 (426),Oath,Aetolia,Representatives; Representatives,Representatives; Representatives,unknown,The truce would be formalised,There would not be a truce,unknown,unknown,yes,The Peloponnesians and Ambraciots were able to withdraw from Oeniadae,unknown,[? That they would not molest the Peloponnesians and Ambraciots while they withdrew],"speis, spond",unknown,"Thucydides states that after the withdrawal of the Athenian forces that were helping the Acarnanians and Amphilochians, these made a truce with the Peloponnesian and Ambraciots who had taken refuge at Oeniadae with Salynthius the king of the Agraeans.  
See also oath id 1633."
2918,Plato,Philebus,36a3-4,literary,Phil.,360-350,fictional time,Oath,Athens,Protarchus,Socrates,n/a,n/a,n/a,unknown,unknown,yes,Emphasises the statement,n/a,"[That a person who is in an intermediate state between pleasure and distress cannot be said to be in a state of either whole distress or whole pleasure]
 Πότερον ἀλγοῦνθ’ ὅλως ἢ χαίροντα; {ΠΡΩ.} Μὰ Δί’",ma,Zeus,"The “intermediate state”  is one in which a person in pain from (e.g.) hunger or thirst is thinking of the pleasures of eating or drinking that would end that pain, but has not yet actually begun replenishing himself.  Protarchus says that such a person actually has a double grief (physical pain and mental longing).  He is not, therefore, actually denying that the person is “in a state of … whole distress”; he is rejecting that proposition because it understates the truth!  Socrates then argues that Protarchus’ claim is only true when the person has no expectation of being able to satisfy his desire."
602,Aristophanes,Acharnians,368-369,literary,Comic.,425,425,Oath,Athens,Dicaeopolis,Chorus,n/a,n/a,n/a,unknown,unknown,yes,No direct impact,n/a,"[That he will not hide behind his shield, but will say what he thinks on behalf of the Spartans]
 Ἀμέλει μὰ τὸν Δί’ οὐκ ἐνασπιδώσομαι, 
  λέξω δ’ ὑπὲρ Λακεδαιμονίων ἃ ’μοὶ δοκεῖ.",ma ton,Zeus,"The Chorus' response to Dicaeopolis is in dochmiacs, a tragic metre rarely used in comedy. Here it serves to heighten the tension, as noted by Sommerstein ad loc. with further detail."
1267,Aristophanes,Danaides,fr. 256 K-A,literary,Comic.,420-400,420 to 400,Oath,Argos,unknown,unknown,unknown,n/a,n/a,unknown,unknown,yes,unknown,unknown,unknown,martu,Pots of Zeus Herkeios,"This oath is unusual in that it is sworn by a sacred object rather than a sacred being. Cf. e.g. Iliad 1.233-246 at oath id 312. The reference to Lynceus in fr. 272 suggests that the play is set in Argos. For another oath by Zeus Herkeios, see oath id 1509."
,,,,,,,,,,,,,,,,,,,,,,,
481,Aristophanes,Frogs,1052-1053,literary,Comic.,405,405,Oath,Underworld,Aeschylus,Euripides; Dionysus,n/a,n/a,n/a,unknown,unknown,yes,Emphasises Aeschylus' argument,n/a,"[That the story of Phaedra already existed]
 ΕΥ.  Πότερον δ’ οὐκ ὄντα λόγον τοῦτον περὶ τῆς Φαίδρας ξυνέθηκα;
  ΑΙ.  Μὰ Δί’, ἀλλ’ ὄντ’·",ma,Zeus,"Aeschylus, while accepting that Euripides did not invent the story of Phaedra, continues to argue that it is the duty of the poet to conceal what is evil (and even if, as here, it is already in the public domain, he should avoid giving it further publicity). See further Sommerstein ad 1053-56."
3173,Plato,Hippias Minor,367a6-8,literary,Phil.,399-388,421 or 420 (421 to 420),Oath,Athens,Hippias,Socrates,n/a,n/a,n/a,unknown,unknown,yes,Emphasises the statement,n/a,"[That a deceitful man would tell as many lies about arithmetic calculation as about other things]
  Ὁ ψευδὴς οὖν πότερον περὶ μὲν τἆλλα ψευδής ἐστιν, οὐ μέντοι περὶ ἀριθμόν, οὐδὲ ἀριθμῶν ἂν ψεύσαιτο; {—ΙΠ.} Καὶ ναὶ μὰ Δία περὶ ἀριθμόν.","ma, nai",Zeus,
3489,Demosthenes,Against Timocrates,78,literary,Orat.,353,353,Oath,Athens,Dikastai,Presiding magistrate,Presiding magistrate,They can be jurors,They cannot be jurors,Many blessings (?),Destruction of self and household (?),yes,see remarks,unknown,"[That they will vote according to the laws and decrees of the Athenian people and the Council of Five Hundred; <and concerning matters about which there are no laws, they will judge according to their perfectly honest opinion, and not from favour nor from enmity>. Nor will they accept gifts for judging, nor will any other man or woman do so on their behalf with their knowledge. And they will give an equal hearing to the accuser and the defendant alike, and cast their vote in relation to the actual matter in issue.]",omwm,Zeus; Poseidon; Demeter,"Diodorus asks the jurors whether they can see any advantage to the polis in a law that overrides the decisions of the courts and requires unsworn people to cancel the judgements of sworn juries. 
For the details of the Heliastic oath see oath id 3494."
3523,Demosthenes,Against Aphobus 3,52,literary,Orat.,362/1,362/1 (362),Oath,Athens,Demosthenes,Aphobus,Demosthenes,His statement will carry more weight,He will not be believed,unknown,unknown,yes,see remarks,n/a,"[That Aphobus acknowledged that Milyas was free and that he testified against Demon]
 τὸν ἄνθρωπον ὡς ὡμολόγησας ἐλεύθερον εἶναι καὶ κατὰ Δήμωνος ἐμαρτύρησας",omos,unknown,"Demosthenes tells the jurors that Aphobus initially asked for Milyas to be interrogated regarding 30 minas, but later claimed that he should be interrogated regarding the whole amount. 
Demosthenes knew this, and confronted Aphobus offering to make a deal. According to the deal, Demosthenes would hand over the man who had the copy of the challenge Aphobus made, and swear that Aphobus acknowledged that Milyas was free and that he testified against Demon. After he did so, if Aphobus would swear by his daughter (see oath id 3524) to the contrary, Demosthenes would then give up to Aphobus (after interrogation of the slave) the entire sum Aphobus asked for at the beginning. 
Thus, the payment Aphobus has been forced to make to Demosthenes would be reduced by the amount he claimed Milyas knew about (30 minae), and he would not suffer as a result of false-witnesses. 
However, Aphobus refused the challenge. 
Although it is not made clear here, Demosthenes states at 57 that he swore the oath himself, as did the witnesses. See also oath id 3526, 3528."
3870,,IC IV,"45, B, lines 3-6",inscriptional,Public,beginning of fifth century,Beginning of fifth century (499 to 475),Oath,Gortyn,Pledger,unknown,unknown,He will be believed (unless the pledgee also swears),He will lose the case,unknown,unknown,n/a,unknown,unknown,[? That he had discharged his debt (and so was entitled to have his pledge returned)],"omos, ork",unknown,"This text concerns disputes over pledged property. If both swear, the pledgee (i.e. the debtor) wins the case. 
See also oath id 1009."
2762,Hypereides,In defence of Euxenippus,11,literary,Orat.,330-324,330 to 324,Oath,Athens,Defendant,Dikastai,n/a,n/a,n/a,n/a,n/a,no,Emphasises the statement,n/a,"[That he has not resorted to using supporting speakers]
 ἀλλὰ νὴ Δία αὐτὸς τοιούτωι πράγματι οὐ κέχρησαι.",nh,Zeus,"Hypereides is introducing an imaginary objection by his opponent, who is supposed to claim (falsely) that he had never made use of supporting speakers, and is then reminded that he did just that when prosecuted by Alexander of Oeum - and that Hypereides was one of them!"
